,race_type,course_len,ground_state,class,上り,通過1,通過2,通過3,通過4
256,ダート,1800,良,新馬,38.67,6.56,5.64,4.35,4.72
257,ダート,1800,稍重,新馬,38.1,3.86,3.86,3.86,3.86
258,ダート,1800,重,新馬,36.6,1.5,1.5,1.5,1.5
259,ダート,1800,不良,新馬,,,,,
260,ダート,1800,全,1勝クラス,37.7,6.78,6.22,6.45,5.65
261,ダート,1800,良,1勝クラス,37.89,6.69,6.05,6.14,5.34
262,ダート,1800,稍重,1勝クラス,38.73,5.47,4.55,4.55,4.55
263,ダート,1800,重,1勝クラス,36.5,7.9,7.6,7.7,6.3
264,ダート,1800,不良,1勝クラス,37.22,7.07,6.89,8.09,7.26
265,ダート,1800,全,2勝クラス,37.2,8.22,8.09,8.2,7.49
266,ダート,1800,良,2勝クラス,36.94,10.56,10.11,11.03,10.35
267,ダート,1800,稍重,2勝クラス,37.73,6.31,6.68,5.85,4.46
268,ダート,1800,重,2勝クラス,,,,,
269,ダート,1800,不良,2勝クラス,36.9,2.25,2.25,1.12,2.25
270,ダート,1800,全,3勝クラス,36.88,5.89,5.89,6.15,5.59
271,ダート,1800,良,3勝クラス,36.8,7.42,7.42,7.77,7.02
272,ダート,1800,稍重,3勝クラス,,,,,
273,ダート,1800,重,3勝クラス,37.1,1.29,1.29,1.29,1.29
274,ダート,1800,不良,3勝クラス,,,,,
275,ダート,1800,全,オープン,36.72,3.86,3.86,3.56,2.96
276,ダート,1800,良,オープン,36.8,4.4,4.4,4.0,3.2
277,ダート,1800,稍重,オープン,36.5,2.25,2.25,2.25,2.25
278,ダート,1800,重,オープン,,,,,
279,ダート,1800,不良,オープン,,,,,
280,ダート,1900,全,all,37.99,7.72,7.52,5.71,4.89
281,ダート,1900,良,all,38.1,8.79,8.76,6.66,5.43
282,ダート,1900,稍重,all,39.2,8.29,5.84,6.44,6.44
283,ダート,1900,重,all,38.45,8.05,7.36,2.64,2.64
284,ダート,1900,不良,all,36.94,3.51,3.78,3.23,3.23
285,ダート,1900,全,未勝利,38.49,7.56,6.79,3.5,2.95
286,ダート,1900,良,未勝利,38.42,7.86,7.4,3.94,3.02
287,ダート,1900,稍重,未勝利,39.3,8.18,3.27,3.27,3.27
288,ダート,1900,重,未勝利,38.45,8.05,7.36,2.64,2.64
289,ダート,1900,不良,未勝利,38.2,4.15,5.54,2.77,2.77
290,ダート,1900,全,新馬,,,,,
291,ダート,1900,良,新馬,,,,,
292,ダート,1900,稍重,新馬,,,,,
293,ダート,1900,重,新馬,,,,,
294,ダート,1900,不良,新馬,,,,,
295,ダート,1900,全,1勝クラス,37.88,9.17,9.38,8.36,7.03
296,ダート,1900,良,1勝クラス,38.0,10.91,11.2,9.58,7.67
297,ダート,1900,稍重,1勝クラス,39.1,8.4,8.4,9.6,9.6
298,ダート,1900,重,1勝クラス,,,,,
299,ダート,1900,不良,1勝クラス,36.85,3.49,3.49,3.49,3.49
300,ダート,1900,全,2勝クラス,37.7,7.23,6.94,5.54,4.69
301,ダート,1900,良,2勝クラス,37.97,8.25,7.88,6.0,4.88
302,ダート,1900,稍重,2勝クラス,,,,,
303,ダート,1900,重,2勝クラス,,,,,
304,ダート,1900,不良,2勝クラス,36.9,4.15,4.15,4.15,4.15
305,ダート,1900,全,3勝クラス,36.85,4.98,5.62,5.62,5.62
306,ダート,1900,良,3勝クラス,37.8,7.71,9.0,9.0,9.0
307,ダート,1900,稍重,3勝クラス,,,,,
308,ダート,1900,重,3勝クラス,,,,,
309,ダート,1900,不良,3勝クラス,35.9,2.25,2.25,2.25,2.25
310,ダート,1900,全,オープン,37.6,2.25,2.25,2.25,2.25
311,ダート,1900,良,オープン,37.6,2.25,2.25,2.25,2.25
312,ダート,1900,稍重,オープン,,,,,
313,ダート,1900,重,オープン,,,,,
314,ダート,1900,不良,オープン,,,,,
