,race_type,course_len,ground_state,class,上り,通過1,通過2,通過3,通過4
334,ダート,1200,不良,1勝クラス,,,,,
335,ダート,1200,全,2勝クラス,35.4,12.0,11.4,,
336,ダート,1200,良,2勝クラス,35.4,12.0,11.4,,
337,ダート,1200,稍重,2勝クラス,,,,,
338,ダート,1200,重,2勝クラス,,,,,
339,ダート,1200,不良,2勝クラス,,,,,
340,ダート,1200,全,3勝クラス,35.1,12.4,10.1,,
341,ダート,1200,良,3勝クラス,35.1,12.4,10.1,,
342,ダート,1200,稍重,3勝クラス,,,,,
343,ダート,1200,重,3勝クラス,,,,,
344,ダート,1200,不良,3勝クラス,,,,,
345,ダート,1200,全,オープン,,,,,
346,ダート,1200,良,オープン,,,,,
347,ダート,1200,稍重,オープン,,,,,
348,ダート,1200,重,オープン,,,,,
349,ダート,1200,不良,オープン,,,,,
350,ダート,1400,全,all,37.0,5.4,5.4,,
351,ダート,1400,良,all,37.0,5.4,5.4,,
352,ダート,1400,稍重,all,,,,,
353,ダート,1400,重,all,,,,,
354,ダート,1400,不良,all,,,,,
355,ダート,1400,全,未勝利,37.3,6.6,6.0,,
356,ダート,1400,良,未勝利,37.3,6.6,6.0,,
357,ダート,1400,稍重,未勝利,,,,,
358,ダート,1400,重,未勝利,,,,,
359,ダート,1400,不良,未勝利,,,,,
360,ダート,1400,全,新馬,37.2,3.8,3.8,,
361,ダート,1400,良,新馬,37.2,3.8,3.8,,
362,ダート,1400,稍重,新馬,,,,,
363,ダート,1400,重,新馬,,,,,
364,ダート,1400,不良,新馬,,,,,
365,ダート,1400,全,1勝クラス,37.0,4.5,4.7,,
366,ダート,1400,良,1勝クラス,37.0,4.5,4.7,,
367,ダート,1400,稍重,1勝クラス,,,,,
368,ダート,1400,重,1勝クラス,,,,,
369,ダート,1400,不良,1勝クラス,,,,,
370,ダート,1400,全,2勝クラス,36.6,5.0,5.8,,
371,ダート,1400,良,2勝クラス,36.6,5.0,5.8,,
372,ダート,1400,稍重,2勝クラス,,,,,
373,ダート,1400,重,2勝クラス,,,,,
374,ダート,1400,不良,2勝クラス,,,,,
375,ダート,1400,全,3勝クラス,36.1,2.2,1.1,,
376,ダート,1400,良,3勝クラス,36.1,2.2,1.1,,
377,ダート,1400,稍重,3勝クラス,,,,,
378,ダート,1400,重,3勝クラス,,,,,
379,ダート,1400,不良,3勝クラス,,,,,
380,ダート,1400,全,オープン,35.4,12.4,13.5,,
381,ダート,1400,良,オープン,35.4,12.4,13.5,,
382,ダート,1400,稍重,オープン,,,,,
383,ダート,1400,重,オープン,,,,,
384,ダート,1400,不良,オープン,,,,,
385,ダート,1800,全,all,37.1,7.2,7.0,6.2,5.4
386,ダート,1800,良,all,37.1,7.2,7.0,6.2,5.4
387,ダート,1800,稍重,all,,,,,
388,ダート,1800,重,all,,,,,
389,ダート,1800,不良,all,,,,,
390,ダート,1800,全,未勝利,37.6,7.6,6.7,5.1,4.0
391,ダート,1800,良,未勝利,37.6,7.6,6.7,5.1,4.0
392,ダート,1800,稍重,未勝利,,,,,
393,ダート,1800,重,未勝利,,,,,
394,ダート,1800,不良,未勝利,,,,,
395,ダート,1800,全,新馬,38.1,5.2,5.2,4.0,3.8
396,ダート,1800,良,新馬,38.1,5.2,5.2,4.0,3.8
397,ダート,1800,稍重,新馬,,,,,
398,ダート,1800,重,新馬,,,,,
399,ダート,1800,不良,新馬,,,,,
400,ダート,1800,全,1勝クラス,36.6,7.7,8.1,8.2,7.0
401,ダート,1800,良,1勝クラス,36.6,7.7,8.1,8.2,7.0
402,ダート,1800,稍重,1勝クラス,,,,,
403,ダート,1800,重,1勝クラス,,,,,
404,ダート,1800,不良,1勝クラス,,,,,
405,ダート,1800,全,2勝クラス,36.7,8.0,8.3,7.7,7.4
406,ダート,1800,良,2勝クラス,36.7,8.0,8.3,7.7,7.4
407,ダート,1800,稍重,2勝クラス,,,,,
408,ダート,1800,重,2勝クラス,,,,,
409,ダート,1800,不良,2勝クラス,,,,,
410,ダート,1800,全,3勝クラス,36.6,5.4,5.4,4.2,4.2
411,ダート,1800,良,3勝クラス,36.6,5.4,5.4,4.2,4.2
412,ダート,1800,稍重,3勝クラス,,,,,
413,ダート,1800,重,3勝クラス,,,,,
414,ダート,1800,不良,3勝クラス,,,,,
415,ダート,1800,全,オープン,36.6,3.4,3.4,3.4,3.4
416,ダート,1800,良,オープン,36.6,3.4,3.4,3.4,3.4
417,ダート,1800,稍重,オープン,,,,,
418,ダート,1800,重,オープン,,,,,
419,ダート,1800,不良,オープン,,,,,
420,ダート,1900,全,all,37.8,6.8,6.3,4.2,3.6
421,ダート,1900,良,all,37.8,6.8,6.3,4.2,3.6
422,ダート,1900,稍重,all,,,,,
423,ダート,1900,重,all,,,,,
424,ダート,1900,不良,all,,,,,
425,ダート,1900,全,未勝利,38.2,6.3,6.2,3.0,3.0
426,ダート,1900,良,未勝利,38.2,6.3,6.2,3.0,3.0
427,ダート,1900,稍重,未勝利,,,,,
428,ダート,1900,重,未勝利,,,,,
429,ダート,1900,不良,未勝利,,,,,
430,ダート,1900,全,新馬,,,,,
431,ダート,1900,良,新馬,,,,,
432,ダート,1900,稍重,新馬,,,,,
433,ダート,1900,重,新馬,,,,,
434,ダート,1900,不良,新馬,,,,,
435,ダート,1900,全,1勝クラス,37.7,8.1,7.2,4.3,3.6
436,ダート,1900,良,1勝クラス,37.7,8.1,7.2,4.3,3.6
437,ダート,1900,稍重,1勝クラス,,,,,
438,ダート,1900,重,1勝クラス,,,,,
439,ダート,1900,不良,1勝クラス,,,,,
440,ダート,1900,全,2勝クラス,37.2,7.2,7.2,9.0,5.4
441,ダート,1900,良,2勝クラス,37.2,7.2,7.2,9.0,5.4
442,ダート,1900,稍重,2勝クラス,,,,,
443,ダート,1900,重,2勝クラス,,,,,
444,ダート,1900,不良,2勝クラス,,,,,
445,ダート,1900,全,3勝クラス,36.8,4.8,3.6,4.8,4.8
446,ダート,1900,良,3勝クラス,36.8,4.8,3.6,4.8,4.8
447,ダート,1900,稍重,3勝クラス,,,,,
448,ダート,1900,重,3勝クラス,,,,,
449,ダート,1900,不良,3勝クラス,,,,,
450,ダート,1900,全,オープン,,,,,
451,ダート,1900,良,オープン,,,,,
452,ダート,1900,稍重,オープン,,,,,
453,ダート,1900,重,オープン,,,,,
454,ダート,1900,不良,オープン,,,,,
